user_id,anime_id,rating
13,1,-1
19,1,10
46,1,10
50,1,10
51,1,10
54,1,-1
55,1,8
68,1,8
72,1,7
80,1,10
81,1,8
103,1,8
126,1,9
129,1,9
139,1,10
152,1,10
160,1,9
163,1,8
173,1,7
175,1,10
178,1,10
185,1,6
189,1,7
191,1,8
193,1,10
209,1,6
210,1,10
218,1,-1
219,1,9
221,1,-1
224,1,10
226,1,8
228,1,10
234,1,9
235,1,8
242,1,9
250,1,10
259,1,-1
261,1,9
266,1,8
270,1,-1
274,1,-1
276,1,10
277,1,10
281,1,7
284,1,7
285,1,-1
288,1,8
290,1,9
292,1,10
293,1,10
294,1,7
296,1,8
301,1,9
302,1,-1
306,1,7
13,5,-1
19,5,9
21,5,9
23,5,10
51,5,9
54,5,-1
139,5,9
152,5,9
160,5,9
193,5,-1
200,5,10
219,5,-1
234,5,9
242,5,8
274,5,-1
277,5,9
294,5,7
296,5,-1
302,5,-1
306,5,8
4,6,-1
5,6,8
13,6,-1
17,6,7
32,6,10
41,6,9
51,6,9
55,6,9
81,6,8
97,6,8
103,6,7
108,6,6
109,6,9
122,6,9
126,6,9
128,6,9
129,6,9
159,6,7
160,6,7
163,6,8
168,6,10
177,6,8
189,6,8
190,6,8
191,6,8
235,6,7
242,6,10
250,6,9
261,6,8
270,6,-1
277,6,9
290,6,-1
291,6,8
292,6,10
296,6,9
301,6,8
54,7,-1
160,7,8
177,7,9
277,7,8
296,8,7
5,15,6
31,15,7
33,15,9
43,15,7
52,15,9
54,15,-1
202,15,7
210,15,10
235,15,7
296,15,9
54,16,-1
75,16,9
123,16,9
128,16,8
160,16,9
210,16,9
235,16,8
282,16,10
5,17,6
75,17,10
235,17,9
296,17,9
303,17,10
129,18,9
202,18,8
235,18,9
13,19,-1
17,19,10
32,19,7
35,19,-1
50,19,10
51,19,10
55,19,8
73,19,7
106,19,-1
118,19,9
129,19,10
139,19,10
160,19,9
171,19,10
183,19,7
190,19,10
274,19,-1
281,19,9
296,19,-1
1,20,-1
3,20,8
5,20,6
6,20,-1
10,20,-1
21,20,8
28,20,9
34,20,9
38,20,6
46,20,7
50,20,10
53,20,6
54,20,-1
60,20,9
61,20,7
62,20,7
72,20,8
79,20,9
80,20,9
88,20,9
90,20,-1
95,20,7
96,20,10
97,20,6
99,20,5
101,20,10
104,20,9
108,20,6
112,20,10
116,20,10
118,20,7
124,20,7
125,20,4
128,20,8
129,20,9
130,20,10
132,20,9
133,20,-1
140,20,7
145,20,-1
148,20,8
153,20,6
159,20,7
163,20,9
164,20,9
166,20,6
171,20,10
173,20,10
177,20,9
179,20,6
185,20,7
187,20,6
188,20,-1
196,20,7
198,20,-1
199,20,9
201,20,-1
202,20,6
209,20,9
210,20,10
214,20,7
218,20,-1
219,20,9
220,20,10
226,20,7
232,20,-1
234,20,5
235,20,8
236,20,7
241,20,8
246,20,9
248,20,9
249,20,8
250,20,7
252,20,8
253,20,6
258,20,9
260,20,9
261,20,7
263,20,7
268,20,8
269,20,7
270,20,-1
271,20,1
272,20,8
273,20,5
275,20,9
279,20,7
281,20,8
282,20,9
284,20,7
285,20,-1
288,20,8
290,20,9
293,20,8
294,20,10
296,20,10
297,20,10
298,20,9
5,22,5
7,22,7
54,22,-1
55,22,9
166,22,7
202,22,-1
235,22,7
247,22,8
293,22,7
296,22,9
1,24,-1
5,24,1
55,24,8
102,24,8
105,24,9
107,24,8
120,24,7
160,24,9
183,24,7
186,24,8
248,24,8
270,24,-1
285,24,-1
290,24,9
294,24,8
296,24,9
13,25,-1
51,25,7
68,25,7
109,25,9
160,25,7
163,25,8
226,25,6
288,25,7
39,26,-1
160,26,7
109,27,9
111,27,8
129,27,8
177,27,6
226,27,7
232,27,-1
235,27,5
269,27,7
270,27,-1
54,28,-1
165,28,10
296,28,-1
5,30,1
7,30,10
11,30,5
13,30,-1
17,30,9
21,30,10
24,30,8
29,30,9
34,30,9
38,30,10
39,30,-1
44,30,8
49,30,-1
51,30,9
54,30,-1
55,30,9
73,30,8
80,30,10
82,30,6
99,30,10
102,30,7
103,30,9
106,30,-1
111,30,9
125,30,4
147,30,9
148,30,6
152,30,10
158,30,8
160,30,10
163,30,7
165,30,8
166,30,6
176,30,10
177,30,8
179,30,10
183,30,5
198,30,-1
200,30,10
209,30,6
219,30,10
221,30,-1
227,30,9
234,30,9
240,30,-1
250,30,8
256,30,8
257,30,10
259,30,-1
264,30,9
277,30,9
285,30,-1
288,30,9
290,30,9
293,30,10
294,30,7
295,30,10
301,30,1
7,31,9
21,31,9
127,31,6
160,31,9
179,31,10
198,31,-1
219,31,8
221,31,-1
250,31,7
277,31,8
294,31,7
301,31,1
7,32,9
13,32,-1
17,32,10
21,32,10
99,32,10
103,32,9
111,32,10
125,32,5
127,32,6
139,32,9
152,32,10
160,32,10
163,32,6
165,32,7
176,32,10
179,32,10
198,32,-1
219,32,10
221,32,-1
234,32,10
240,32,-1
250,32,9
259,32,-1
264,32,9
277,32,9
285,32,-1
290,32,9
293,32,8
294,32,8
301,32,1
50,33,7
51,33,10
55,33,9
109,33,6
125,33,6
163,33,8
177,33,9
189,33,10
200,33,10
235,33,7
261,33,-1
281,33,-1
291,33,10
11,43,7
13,43,-1
17,43,8
43,43,8
51,43,10
54,43,-1
75,43,9
95,43,8
99,43,7
139,43,10
152,43,7
155,43,5
158,43,9
160,43,10
173,43,10
196,43,7
200,43,8
208,43,6
224,43,9
228,43,9
234,43,8
252,43,7
277,43,8
285,43,-1
291,43,9
11,44,7
50,44,10
51,44,10
54,44,-1
55,44,-1
75,44,9
108,44,7
125,44,10
129,44,10
165,44,10
242,44,6
247,44,9
248,44,10
294,44,9
5,45,7
23,45,10
46,45,8
50,45,8
51,45,8
54,45,-1
55,45,9
75,45,10
102,45,10
108,45,7
123,45,8
125,45,9
128,45,9
129,45,10
159,45,7
165,45,10
185,45,7
190,45,10
247,45,9
248,45,9
262,45,8
277,45,9
294,45,7
295,45,10
296,45,9
297,45,9
54,46,-1
75,46,9
111,46,8
129,46,9
294,46,7
5,47,8
13,47,-1
17,47,8
34,47,-1
38,47,7
54,47,-1
99,47,7
109,47,9
139,47,9
140,47,6
160,47,9
167,47,7
170,47,10
173,47,9
230,47,7
234,47,8
240,47,-1
261,47,8
269,47,7
274,47,-1
288,47,9
290,47,10
291,47,10
293,47,9
23,48,9
61,48,6
66,48,9
102,48,8
128,48,9
138,48,6
139,48,8
158,48,8
185,48,7
226,48,7
270,48,-1
277,48,8
279,48,8
290,48,-1
54,49,-1
288,49,7
294,49,8
54,50,-1
104,50,7
210,50,7
226,50,8
248,50,7
267,50,-1
269,50,8
288,50,8
294,50,8
295,50,10
66,51,-1
160,51,8
111,52,7
160,52,8
167,52,6
270,52,-1
54,53,-1
108,53,6
125,53,7
135,53,7
226,53,8
247,53,7
261,53,8
267,53,-1
289,53,-1
302,53,-1
11,54,-1
109,54,5
200,54,8
235,54,8
270,54,-1
301,54,8
288,55,8
5,57,7
51,57,10
52,57,10
108,57,8
111,57,7
128,57,10
132,57,9
145,57,-1
248,57,10
109,58,8
126,58,7
226,58,6
6,59,-1
7,59,7
11,59,7
30,59,7
32,59,6
54,59,-1
57,59,8
66,59,9
105,59,5
118,59,6
120,59,6
125,59,8
135,59,8
158,59,7
160,59,8
179,59,-1
185,59,7
201,59,-1
226,59,8
248,59,8
259,59,-1
262,59,6
269,59,7
270,59,-1
271,59,8
277,59,9
280,59,8
282,59,9
